AOP ID,Title,OECD Status,License,Handbook Version,Completion %,Raw Score,Max Score,Events,KERs,Stressors,Empty Free Text Fields,Empty Structured Fields
518,Liver X Receptor (LXR) activation leads to liver steatosis,,BY-SA,2.6,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
526,"Decreased, Chicken Ovalbumin Upstream Promoter Transcription Factor II (COUP-TFII) leads to Impaired, Spermatogenesis",,BY-SA,2.6,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
527,"Decreased, Chicken Ovalbumin Upstream Promoter Transcription Factor II (COUP-TFII) leads to Hypospadias, increased",,BY-SA,2.6,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
528,"Decreased Insulin-like peptide 3 (INSL3) leads to Malformation, cryptorchidism - maldescended testis",,BY-SA,2.6,84.21,16,19,3,2,0,"quantitative_considerations, potential_applications",stressors
535,Binding and activation of GPER leading to learning and memory impairments,,All rights reserved,2.7,84.21,16,19,9,13,1,"quantitative_considerations, potential_applications, development_strategy",
609,"Activation, estrogen receptor alpha leads to prolonged estrus cycle via decreased kisspeptin release",,BY-SA,2.7,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
7,Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,Under Review,BY-SA,1.0,82.35,14,17,5,4,0,"background, quantitative_considerations, development_strategy, known_modulating_factors",stressors
43,Disruption of VEGFR Signaling Leading to Developmental Defects,WPHA/WNT Endorsed,BY-SA,1.0,82.35,14,17,5,4,2,"overall_assessment_description, potential_applications, development_strategy, known_modulating_factors",sex_applicability
46,AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC),Under Review,BY-SA,1.0,82.35,14,17,6,8,0,"overall_assessment_description, potential_applications, development_strategy, known_modulating_factors",stressors
48,"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",WPHA/WNT Endorsed,BY-SA,1.0,82.35,14,17,9,10,0,"background, quantitative_considerations, development_strategy, known_modulating_factors",stressors
195,5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase,,BY-SA,1.0,82.35,14,17,8,11,2,"ke_essentiality, development_strategy, known_modulating_factors","sex_applicability, life_stage_applicability"
196,Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,,BY-SA,1.0,82.35,14,17,9,10,2,"overall_assessment_description, development_strategy, known_modulating_factors","life_stage_applicability, taxonomy_applicability"
201,Juvenile hormone receptor agonism leading to male offspring induction associated population decline,,BY-SA,1.0,82.35,14,17,6,5,5,"background, overall_assessment_description, potential_applications, development_strategy, known_modulating_factors",
206,Peroxisome proliferator-activated receptors γ inactivation leading to lung fibrosis,Under Development,All rights reserved,1.0,82.35,14,17,6,5,0,"background, overall_assessment_description, development_strategy",stressors
257,Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,Under Development,BY-SA,1.0,82.35,14,17,5,4,9,"background, overall_assessment_description, ke_essentiality, development_strategy, known_modulating_factors",
293,Increased DNA damage leading to increased risk of breast cancer,Under Development,BY-SA,2.0,82.35,14,17,9,14,2,"quantitative_considerations, development_strategy, known_modulating_factors","sex_applicability, life_stage_applicability"
313,Stimulation of TLR7/8 in dendric cells leading to Psoriatic skin disease,Under Development,BY-SA,2.0,82.35,14,17,5,3,2,"woe_evidence, quantitative_considerations, potential_applications, development_strategy, known_modulating_factors",
324,Excessive reactive oxygen species leading to growth inhibition via uncoupling of oxidative phosphorylation and cell death,,BY-SA,2.0,82.35,14,17,6,5,1,"ke_essentiality, woe_evidence, quantitative_considerations",
343,Ecdysone receptor antagonism leading to mortality via mis-timed ecdysone receptor-responsive nuclear receptor cascade,,BY-SA,2.0,82.35,14,17,8,7,0,,"stressors, sex_applicability, life_stage_applicability"
379,Binding to ACE2 leading to thrombosis and disseminated intravascular coagulation,Under Development,All rights reserved,2.0,82.35,14,17,7,7,1,"background, overall_assessment_description, quantitative_considerations",
490,Co-activation of IP3R and RyR leads to reduced IQ and increased socio-economic burden through non-cholinergic mechanisms,,All rights reserved,2.5,78.95,15,19,12,13,3,"ke_essentiality, woe_evidence, quantitative_considerations",taxonomy_applicability
543, Inhibition of neuropathy target esterase leading to delayed neuropathy via lysolecithin cell membrane integration,,All rights reserved,2.7,78.95,15,19,6,5,1,"overall_assessment_applicability, quantitative_considerations, potential_applications",life_stage_applicability
544, Inhibition of neuropathy target esterase leading to delayed neuropathy via increased inflammation,,All rights reserved,2.7,78.95,15,19,6,6,1,"overall_assessment_applicability, quantitative_considerations, potential_applications",life_stage_applicability
